Time Apple Generated,Time Of Click,Apple Type,Location,Apple's Speed,Reaction Time
1436980938.872776,,good,Pot,5,
1436980944.440766,1436980946.323515,bad,Bin,,
1436980946.691556,1436980947.461203,bad,Bin,,
1436980947.812852,,good,Pot,8.811708416000004,
1436980949.434278,1436980950.082136,bad,Bin,,
1436980950.451437,1436980951.015044,bad,Bin,,
1436980951.377282,1436980951.798464,bad,Bin,,
1436980952.194995,1436980952.545218,bad,Bin,,
1436980952.921237,,good,Pot,19.479879962734902,
1436980953.640287,1436980954.239563,good,Bin,,
1436980960.945821,1436980961.595096,good,Bin,,
1436980961.942309,1436980962.690811,bad,Bin,,
1436980963.087795,1436980963.48688,bad,Bin,,
1436980963.885228,1436980964.213459,bad,Bin,,
1436980964.611406,1436980964.98219,good,Bin,,
1436980965.331844,1436980965.905038,bad,Bin,,
1436980966.252688,,good,Pot,19.479879962734902,
1436980966.973592,1436980967.401542,bad,Bin,,
1436980967.799398,1436980968.506,bad,Bin,,
1436980968.871807,,good,Pot,19.479879962734902,
1436980970.323396,1436980970.444032,bad,Bin,,
1436980970.82246,1436980971.370238,bad,Bin,,
1436980971.74108,1436980972.150397,bad,Bin,,
1436980972.486111,,good,Pot,19.479879962734902,
1436980973.232732,,good,Pot,19.479879962734902,
1436980974.131429,1436980974.755676,bad,Bin,,
1436980975.126384,1436980975.654908,bad,Bin,,
1436980976.023087,1436980976.551091,bad,Bin,,
1436980976.947904,1436980977.418827,bad,Bin,,
1436980977.769313,,good,Pot,19.479879962734902,
1436980978.542879,1436980979.089288,bad,Bin,,
1436980979.487383,1436980979.988193,bad,Bin,,
1436980980.385998,1436980980.855024,bad,Bin,,
1436980981.205096,,good,Pot,19.479879962734902,
1436980981.952526,1436980982.3793,bad,Bin,,
1436980982.724711,1436980983.176093,good,Bin,,
1436980984.268436,1436980984.443437,bad,Bin,,
1436980984.839338,1436980985.218766,bad,Bin,,
1436980985.615568,1436980986.015984,bad,Bin,,
1436980986.355731,1436980986.91625,bad,Bin,,
1436980987.313103,1436980987.800454,bad,Bin,,
1436980988.198121,1436980988.663412,bad,Bin,,
1436980989.028498,1436980989.593711,bad,Bin,,
1436980989.991466,1436980990.502254,bad,Bin,,
1436980990.900316,1436980991.328501,bad,Bin,,
1436980991.647517,1436980992.346052,good,Bin,,
1436980992.693828,1436980993.318993,bad,Bin,,
1436980993.718832,1436980994.168274,good,Bin,,
1436980994.51676,1436980995.164892,bad,Bin,,
1436980995.561964,1436980996.258079,bad,Bin,,
1436980996.658489,,good,Pot,19.479879962734902,
1436980997.351949,1436980997.87615,bad,Bin,,
1436980998.252011,1436980998.801451,bad,Bin,,
1436980999.148071,,good,Pot,19.479879962734902,
1436980999.89376,1436981000.293082,bad,Bin,,
1436981000.664615,1436981001.113547,bad,Bin,,
1436981001.490227,1436981001.960019,bad,Bin,,
1436981002.308684,,good,Pot,19.479879962734902,
1436981003.084328,1436981003.50379,bad,Bin,,
1436981003.854609,1436981004.280666,good,Bin,,
1436981004.628182,1436981005.297796,bad,Bin,,
1436981005.651438,1436981006.210622,bad,Bin,,
1436981006.559,,good,Pot,19.479879962734902,
1436981007.306297,1436981007.767298,bad,Bin,,
1436981008.132112,1436981008.601761,bad,Bin,,
1436981009.000511,1436981009.44907,bad,Bin,,
1436981009.846033,1436981010.31639,bad,Bin,,
1436981010.714599,1436981011.238064,bad,Bin,,
1436981011.62128,1436981012.117574,bad,Bin,,
1436981012.513429,1436981012.982568,bad,Bin,,
1436981013.364136,1436981013.712022,bad,Bin,,
1436981014.064281,1436981014.442707,bad,Bin,,
1436981014.792147,1436981015.211388,bad,Bin,,
1436981015.607705,1436981015.982646,bad,Bin,,
1436981016.372875,1436981016.75083,bad,Bin,,
1436981017.118334,1436981017.532384,bad,Bin,,
1436981017.895608,1436981018.299852,bad,Bin,,
1436981018.678735,1436981019.091995,bad,Bin,,
1436981019.462147,1436981019.911494,bad,Bin,,
1436981020.286447,,good,Pot,19.479879962734902,
1436981020.984261,1436981021.333666,bad,Bin,,
1436981021.703178,1436981022.10313,bad,Bin,,
1436981022.477892,1436981022.848661,bad,Bin,,
1436981023.225633,1436981023.575024,bad,Bin,,
1436981023.970487,,good,Pot,19.479879962734902,
