Time Apple Generated,Time Of Click,Apple Type,Location,Apple's Speed,Reaction Time
1436959722.29951,,good,Pot,,
1436959725.435733,,good,Pot,,
1436959731.962375,,good,Pot,,
1436959739.696781,,good,Pot,,
1436959749.226548,,good,Pot,,
1436959749.830867,,good,Pot,,
1436959760.042835,,good,Pot,,
1436959764.239548,,good,Pot,,
1436959765.435751,,good,Pot,,
1436959773.827251,,good,Pot,,
1436959790.066158,,good,Pot,,
1436959795.467316,,good,Pot,,
1436959800.880114,,good,Pot,,
1436959808.695187,,good,Pot,,
1436959811.70224,,good,Pot,,
1436959817.714233,,good,Pot,,
1436959818.912654,,good,Pot,,
1436959826.728236,,good,Pot,,
1436959827.940705,,good,Pot,,
1436959838.162734,,good,Pot,,
1436959844.186236,,good,Pot,,
1436959850.206977,,good,Pot,,
1436959868.257875,,good,Pot,,
1436959868.862204,,good,Pot,,
1436959869.45831,,good,Pot,,
1436959872.469611,,good,Pot,,
1436959873.666398,,good,Pot,,
1436959892.925378,,good,Pot,,
1436959912.152422,,good,Pot,,
1436959915.76513,,good,Pot,,
1436959924.79022,,good,Pot,,
1436959926.594112,,good,Pot,,
1436959944.650529,,good,Pot,,
1436959951.870988,,good,Pot,,
1436959954.876786,,good,Pot,,
1436959959.697578,,good,Pot,,
1436959960.298447,,good,Pot,,
1436959968.12657,,good,Pot,,
1436959996.997626,,good,Pot,,
1436960004.206706,,good,Pot,,
1436960009.631379,,good,Pot,,
1436960010.24,,good,Pot,,
1436960010.846751,,good,Pot,,
1436960018.676605,,good,Pot,,
1436960023.474311,,good,Pot,,
1436960027.083502,,good,Pot,,
1436960032.499556,,good,Pot,,
1436960040.329172,,good,Pot,,
1436960054.777888,,good,Pot,,
1436960077.640453,,good,Pot,,
1436960089.653738,,good,Pot,,
1436960093.883574,,good,Pot,,
1436960098.093334,,good,Pot,,
1436960100.492972,,good,Pot,,
1436960101.090346,,good,Pot,,
1436960113.128074,,good,Pot,,
1436960113.729496,,good,Pot,,
