Time Apple Generated,Time Of Click,Apple Type,Location,Apple's Speed,Reaction Time,Error Type
1437064156.812892,,good,Pot,5,,
1437064159.710488,1437064160.293016,bad,Bin,,,
1437064160.685608,1437064161.132179,bad,Bin,,,
1437064161.529825,1437064162.004084,bad,Bin,,,
1437064162.3767,,good,Pot,18.564650000000004,,
1437064163.121238,1437064163.750453,good,Bin,,,
1437064164.088658,1437064164.510441,bad,Bin,,,
1437064164.884248,,good,Pot,18.564650000000004,,
1437064165.742481,1437064166.204141,bad,Bin,,,
1437064166.579723,1437064167.076604,good,Bin,,,
1437064168.173683,1437064168.337096,good,Bin,,,
1437064168.697822,1437064169.46312,bad,Bin,,,
1437064169.827207,,good,Pot,18.564650000000004,,
1437064170.823189,,good,Pot,18.564650000000004,,
1437064171.96014,,good,Pot,18.564650000000004,,
1437064173.067475,1437064173.596806,bad,Bin,,,
1437064173.995103,1437064174.526763,bad,Bin,,,
1437064174.892046,1437064175.293017,bad,Bin,,,
1437064175.657637,1437064176.054766,bad,Bin,,,
1437064176.418987,,good,Pot,18.564650000000004,,
1437064177.339851,1437064177.739443,bad,Bin,,,
1437064178.084997,,good,Pot,18.564650000000004,,
1437064178.917908,1437064179.338057,bad,Bin,,,
1437064180.498369,1437064181.001557,bad,Bin,,,
1437064181.38931,1437064181.736733,bad,Bin,,,
1437064182.110348,1437064182.459244,bad,Bin,,,
1437064182.82083,1437064183.167745,bad,Bin,,,
1437064183.507282,,good,Pot,18.564650000000004,,
1437064184.169296,1437064184.469085,bad,Bin,,,
1437064184.854371,1437064185.22082,bad,Bin,,,
1437064185.583216,1437064185.901107,good,Bin,,,
1437064186.265899,1437064186.602036,bad,Bin,,,
