Time Apple Generated,Time Of Click,Apple Type,Location,Apple's Speed,Reaction Time,Error Type
1437064029.177563,1437064031.831505,good,Bin,,,
1437064032.198816,1437064033.243421,bad,Bin,,,
1437064033.594058,,good,Pot,8.450000000000001,,
1437064035.331748,1437064036.094045,bad,Bin,,,
1437064036.493297,1437064037.003137,bad,Bin,,,
1437064037.379586,1437064037.800886,bad,Bin,,,
1437064038.171529,1437064038.668505,good,Bin,,,
1437064039.033488,1437064039.597723,bad,Bin,,,
1437064039.997007,1437064040.561137,bad,Bin,,,
1437064040.959123,1437064041.561849,bad,Bin,,,
1437064041.960291,1437064042.486655,bad,Bin,,,
1437064042.88684,1437064043.33969,bad,Bin,,,
1437064043.737646,1437064044.171815,bad,Bin,,,
1437064044.557853,1437064044.957426,bad,Bin,,,
1437064045.333292,1437064045.753895,bad,Bin,,,
1437064046.138842,1437064046.604854,bad,Bin,,,
1437064046.969811,1437064047.424264,bad,Bin,,,
1437064047.81662,1437064048.289536,bad,Bin,,,
1437064048.673228,1437064049.025039,bad,Bin,,,
1437064049.424536,1437064049.850926,bad,Bin,,,
1437064050.239847,1437064050.573744,good,Bin,,,
1437064050.938635,1437064051.480211,bad,Bin,,,
1437064051.868374,1437064052.366889,bad,Bin,,,
1437064052.743258,1437064053.171939,bad,Bin,,,
1437064053.54083,1437064054.027214,bad,Bin,,,
1437064054.392048,,good,Pot,18.564650000000004,,
1437064055.354993,1437064055.7451,bad,Bin,,,
1437064056.108579,1437064056.608484,bad,Bin,,,
1437064057.004362,1437064057.377615,bad,Bin,,,
1437064057.775607,1437064058.136248,bad,Bin,,,
1437064058.522982,1437064058.922322,bad,Bin,,,
