Time Apple Generated,Time Of Click,Apple Type,Location,Apple's Speed,Reaction Time,Error Type
1437126431.041547,,good,Pot,5,,
1437126433.775097,,good,Pot,6.5,,
1437126436.711857,,good,Pot,8.450000000000001,,
1437126443.311693,,good,Pot,18.564650000000004,,didn't click
1437126446.935019,,good,Pot,18.564650000000004,,didn't click
1437126453.500394,,good,Pot,18.564650000000004,,didn't click
1437126470.162615,,good,Pot,18.564650000000004,,didn't click
1437126472.056106,,good,Pot,18.564650000000004,,didn't click
1437126473.950856,,good,Pot,18.564650000000004,,didn't click
1437126474.900318,,good,Pot,18.564650000000004,,
1437126476.893294,,good,Pot,18.564650000000004,,didn't click
1437126479.816703,,good,Pot,18.564650000000004,,didn't click
