Time Apple Generated,Time Of Click,Apple Type,Location,Apple's Speed,Reaction Time,Error Type
1437126171.099841,,good,Pot,5,,
1437126173.935577,1437126174.636048,bad,Bin,,0.7004711627960205,
1437126175.00645,1437126175.554231,bad,Bin,,0.5477809906005859,
1437126175.901155,,good,Pot,14.280500000000002,,
1437126176.874448,1437126177.225456,bad,Bin,,0.35100793838500977,
1437126177.571154,,good,Pot,18.564650000000004,,
1437126178.347215,1437126178.713508,bad,Bin,,0.36629295349121094,
1437126179.09019,,good,Pot,18.564650000000004,,
1437126179.815646,1437126180.28626,good,Bin,,0.470613956451416,clicked
1437126180.636586,1437126180.982985,bad,Bin,,0.34639906883239746,
1437126181.359219,1437126181.82944,bad,Bin,,0.47022104263305664,
1437126182.20428,1437126182.505291,bad,Bin,,0.3010110855102539,
1437126182.875918,,good,Pot,18.564650000000004,,
1437126183.623577,1437126184.14869,bad,Bin,,0.5251128673553467,
1437126184.520044,1437126185.196174,good,Bin,,0.6761298179626465,clicked
1437126185.566613,,good,Pot,18.564650000000004,,
1437126186.322364,1437126186.796423,bad,Bin,,0.4740588665008545,
1437126187.916531,1437126188.365832,good,Bin,,0.44930100440979004,clicked
1437126188.763619,1437126189.18674,bad,Bin,,0.42312097549438477,
1437126189.566778,1437126190.04608,bad,Bin,,0.47930216789245605,
1437126190.402224,1437126190.868097,good,Bin,,0.46587300300598145,clicked
1437126191.233073,1437126191.697853,bad,Bin,,0.4647800922393799,
1437126192.095447,1437126192.600121,bad,Bin,,0.504673957824707,
1437126192.971151,,good,Pot,18.564650000000004,,
1437126193.718693,,good,Pot,18.564650000000004,,
1437126194.630228,1437126195.060365,good,Bin,,0.43013691902160645,clicked
1437126195.408184,1437126195.790505,bad,Bin,,0.3823208808898926,
1437126196.171195,1437126196.669389,bad,Bin,,0.49819397926330566,
1437126197.039747,1437126197.488812,bad,Bin,,0.4490649700164795,
1437126197.862815,,good,Pot,18.564650000000004,,
1437126198.612148,1437126198.983397,bad,Bin,,0.3712489604949951,
1437126199.356612,1437126199.98011,bad,Bin,,0.6234979629516602,
1437126200.354255,,good,Pot,18.564650000000004,,
1437126201.13519,1437126201.483476,bad,Bin,,0.3482859134674072,
1437126201.855213,1437126202.502714,bad,Bin,,0.6475009918212891,
1437126202.901623,,good,Pot,18.564650000000004,,
1437126203.626173,1437126204.046965,bad,Bin,,0.4207918643951416,
1437126204.445541,1437126204.994346,bad,Bin,,0.5488049983978271,
1437126205.368174,1437126205.817659,bad,Bin,,0.44948482513427734,
1437126206.21313,1437126206.614492,bad,Bin,,0.40136194229125977,
1437126207.012852,1437126207.384369,bad,Bin,,0.3715169429779053,
1437126207.733764,,good,Pot,18.564650000000004,,
1437126208.506056,1437126208.956141,bad,Bin,,0.450084924697876,
1437126209.302525,,good,Pot,18.564650000000004,,
1437126210.072304,1437126210.46494,bad,Bin,,0.3926360607147217,
1437126210.863243,1437126211.363553,bad,Bin,,0.500309944152832,
1437126211.751483,1437126212.18493,bad,Bin,,0.43344712257385254,
1437126212.557338,,good,Pot,18.564650000000004,,
1437126213.279543,1437126213.755278,bad,Bin,,0.4757351875305176,
1437126214.146077,1437126214.574899,good,Bin,,0.42882204055786133,clicked
1437126214.923882,1437126215.322428,bad,Bin,,0.3985459804534912,
1437126215.695797,,good,Pot,18.564650000000004,,
1437126216.44588,1437126216.867628,bad,Bin,,0.42174816131591797,
1437126217.239639,,good,Pot,18.564650000000004,,
1437126217.987017,1437126218.411392,bad,Bin,,0.424375057220459,
1437126218.809458,,good,Pot,18.564650000000004,,
1437126219.555916,1437126219.981232,bad,Bin,,0.42531585693359375,
1437126220.353712,,good,Pot,18.564650000000004,,
1437126221.10013,1437126221.499641,bad,Bin,,0.39951086044311523,
1437126221.896888,1437126222.421677,bad,Bin,,0.5247890949249268,
1437126222.793696,,good,Pot,18.564650000000004,,
1437126223.5406,1437126223.990242,bad,Bin,,0.4496419429779053,
1437126224.366382,1437126224.863035,bad,Bin,,0.49665307998657227,
1437126225.234627,1437126225.85929,bad,Bin,,0.6246628761291504,
1437126226.258654,1437126226.705895,bad,Bin,,0.44724082946777344,
1437126227.078069,,good,Pot,18.564650000000004,,
1437126227.824693,1437126228.323558,bad,Bin,,0.49886512756347656,
1437126228.700514,1437126229.221352,bad,Bin,,0.5208380222320557,
1437126229.617741,1437126230.316357,bad,Bin,,0.6986157894134521,
