Time Apple Generated,Time Of Click,Apple Type,Location,Apple's Speed,Reaction Time,Error Type
1437126675.28897,,good,Pot,5,,
1437126678.055785,,bad,,,,didn't click
1437126680.146111,,bad,,,,didn't click
1437126682.221272,,bad,,,,didn't click
1437126683.865248,,bad,,,,didn't click
1437126685.06155,,bad,,,,didn't click
1437126685.981905,,good,Pot,18.564650000000004,,
1437126686.904592,,bad,,,,didn't click
1437126687.824523,,good,Pot,18.564650000000004,,
1437126688.747142,,bad,,,,didn't click
1437126689.66833,,bad,,,,didn't click
1437126690.591004,,good,Pot,18.564650000000004,,
1437126691.536438,,bad,,,,didn't click
1437126692.483058,,bad,,,,didn't click
1437126693.435757,,bad,,,,didn't click
1437126694.655874,,bad,,,,didn't click
1437126695.687714,,bad,,,,didn't click
1437126696.634156,,bad,,,,didn't click
1437126697.775809,,bad,,,,didn't click
1437126698.973198,,bad,,,,didn't click
1437126699.922006,,bad,,,,didn't click
1437126700.842132,,good,Pot,18.564650000000004,,
1437126701.767481,,bad,,,,didn't click
1437126702.68618,,good,Pot,18.564650000000004,,
1437126703.85152,,bad,,,,didn't click
1437126704.837435,,bad,,,,didn't click
1437126705.783327,,good,Pot,18.564650000000004,,
1437126706.704055,,bad,,,,didn't click
1437126707.652244,,good,Pot,18.564650000000004,,
1437126708.572974,,bad,,,,didn't click
1437126709.493401,,bad,,,,didn't click
1437126710.41601,,bad,,,,didn't click
1437126711.336257,,bad,,,,didn't click
1437126712.420736,,bad,,,,didn't click
1437126713.428688,,bad,,,,didn't click
1437126714.35192,,bad,,,,didn't click
1437126715.271788,,bad,,,,didn't click
1437126716.196273,,bad,,,,didn't click
1437126717.247942,,bad,,,,didn't click
1437126718.169022,,bad,,,,didn't click
1437126719.091646,,bad,,,,didn't click
1437126720.013889,,bad,,,,didn't click
1437126720.934383,,bad,,,,didn't click
1437126721.857433,,bad,,,,didn't click
1437126722.777531,,good,Pot,18.564650000000004,,
1437126723.699793,,bad,,,,didn't click
1437126724.620383,,bad,,,,didn't click
1437126725.820316,,bad,,,,didn't click
1437126726.977841,,bad,,,,didn't click
1437126727.900985,,good,Pot,18.564650000000004,,
1437126728.821061,,bad,,,,didn't click
1437126729.7462,,bad,,,,didn't click
1437126730.692407,,good,Pot,18.564650000000004,,
1437126731.636879,,bad,,,,didn't click
1437126732.600197,,bad,,,,didn't click
1437126733.521078,,bad,,,,didn't click
