Time Apple Generated,Time Of Click,Apple Type,Location,Apple's Speed,Reaction Time,Error Type
1437127295.050636,,good,Pot,5,,
1437127297.829613,,good,Pot,6.5,,
1437127300.520753,1437127301.147642,bad,Bin,,0.6268889904022217,
,,,,,,
1437127301.487649,,bad,,,,
1437127301.520585,1437127302.047627,bad,Bin,,0.5270419120788574,
,,,,,,
1437127302.39748,,bad,,,,
1437127302.422496,,bad,,,,
1437127302.445925,,good,Pot,18.564650000000004,,
1437127303.141952,1437127303.518759,bad,Bin,,0.37680697441101074,
,,,,,,
1437127303.867132,,bad,,,,
1437127303.891172,,bad,,,,
1437127303.91664,,good,Pot,18.564650000000004,,
1437127304.616178,1437127304.963784,bad,Bin,,0.34760594367980957,
,,,,,,
1437127305.263572,,bad,,,,
1437127305.285729,,bad,,,,
1437127305.313966,,bad,,,,
1437127305.335264,,good,Pot,18.564650000000004,,
1437127306.085908,1437127306.448871,bad,Bin,,0.3629629611968994,
,,,,,,
1437127306.79547,,bad,,,,
1437127306.823498,,good,Pot,18.564650000000004,,
1437127307.543325,1437127307.919138,bad,Bin,,0.37581300735473633,
,,,,,,
1437127308.241216,,bad,,,,
1437127308.269646,,bad,,,,
1437127308.291436,1437127308.784924,bad,Bin,,0.493488073348999,
,,,,,,
1437127309.13376,,bad,,,,
1437127309.155017,,bad,,,,
1437127309.179419,1437127309.604355,bad,Bin,,0.42493605613708496,
,,,,,,
1437127309.927639,,bad,,,,
1437127309.950992,,bad,,,,
1437127309.977803,,good,Pot,18.564650000000004,,
1437127310.674578,1437127311.075204,bad,Bin,,0.40062594413757324,
,,,,,,
1437127311.422033,,bad,,,,
1437127311.445876,,good,Pot,18.564650000000004,,
1437127312.170743,1437127312.568525,bad,Bin,,0.3977820873260498,
,,,,,,
1437127312.91631,,bad,,,,
1437127312.939971,,bad,,,,
1437127312.966347,1437127313.515089,bad,Bin,,0.5487420558929443,
,,,,,,
1437127313.862359,,bad,,,,
1437127313.887136,,bad,,,,
1437127313.912294,,good,Pot,18.564650000000004,,
1437127314.610158,1437127315.031788,good,Bin,,0.4216301441192627,clicked
,,,,,,
1437127315.381248,,good,,,,
1437127315.407612,1437127315.807927,bad,Bin,,0.4003148078918457,
,,,,,,
1437127316.155471,,bad,,,,
1437127316.177713,1437127316.790616,bad,Bin,,0.6129031181335449,
,,,,,,
1437127317.121892,1437127317.687485,good,Bin,,0.5655930042266846,clicked
,,,,,,
1437127318.019285,,good,,,,
1437127318.034924,,bad,,,,didn't click
1437127318.582932,1437127319.015916,bad,Bin,,0.4329841136932373,
,,,,,,
1437127319.347711,,good,Pot,18.564650000000004,,
1437127320.046512,1437127320.273946,bad,Bin,,0.2274341583251953,
