Time Apple Generated,Time Of Click,Apple Type,Location,Apple's Speed,Reaction Time,Error Type
1437074391.720303,,good,Pot,5,,
1437074394.810075,1437074395.41488,bad,Bin,,,
1437074395.808432,1437074396.306196,bad,Bin,,,
1437074396.6554,,good,Pot,18.564650000000004,,
1437074397.412548,1437074398.020011,bad,Bin,,,
1437074398.382542,1437074398.829925,bad,Bin,,,
1437074399.178067,,good,Pot,18.564650000000004,,
1437074399.949587,1437074400.326256,bad,Bin,,,
1437074400.695836,,good,Pot,18.564650000000004,,
1437074401.421074,,good,Pot,18.564650000000004,,
1437074402.526133,,good,Pot,18.564650000000004,,
1437074403.788031,1437074404.320124,bad,Bin,,,
1437074404.717783,1437074405.239368,bad,Bin,,,
1437074405.631315,1437074406.264226,bad,Bin,,,
1437074406.661025,1437074407.233732,bad,Bin,,,
1437074407.583392,,good,Pot,18.564650000000004,,
1437074408.267854,1437074408.643062,bad,Bin,,,
1437074409.015211,1437074409.491291,bad,Bin,,,
1437074409.839553,1437074410.635487,good,Bin,,,
1437074410.984798,1437074411.631863,bad,Bin,,,
1437074412.031409,1437074412.628356,bad,Bin,,,
1437074413.025289,1437074413.576709,good,Bin,,,
1437074413.928701,1437074414.531881,bad,Bin,,,
1437074414.929855,,good,Pot,18.564650000000004,,
1437074415.843362,1437074416.405599,bad,Bin,,,
1437074416.8024,,good,Pot,18.564650000000004,,
1437074417.52731,1437074417.948378,bad,Bin,,,
1437074418.298812,,good,Pot,18.564650000000004,,
1437074419.097795,1437074419.629412,bad,Bin,,,
1437074419.996729,1437074420.72583,bad,Bin,,,
1437074421.123032,1437074421.790718,bad,Bin,,,
1437074422.185499,1437074422.751624,bad,Bin,,,
1437074423.137723,1437074423.714116,bad,Bin,,,
1437074424.108485,1437074424.632331,good,Bin,,,
1437074425.005144,,good,Pot,18.564650000000004,,
1437074425.806051,1437074426.276841,bad,Bin,,,
1437074427.398587,1437074427.433908,bad,Bin,,,
1437074427.830385,1437074428.164762,bad,Bin,,,
1437074428.52959,1437074429.061159,bad,Bin,,,
1437074429.428254,,good,Pot,18.564650000000004,,
1437074430.423349,1437074430.954211,bad,Bin,,,
1437074431.352152,1437074431.916823,bad,Bin,,,
1437074432.238799,,good,Pot,18.564650000000004,,
1437074433.086588,,good,Pot,18.564650000000004,,
1437074434.05722,,good,Pot,18.564650000000004,,
1437074435.222083,1437074435.786486,bad,Bin,,,
1437074436.163049,1437074436.789387,bad,Bin,,,
1437074437.18531,1437074437.678798,bad,Bin,,,
1437074438.055712,1437074438.531178,bad,Bin,,,
1437074438.890401,1437074439.390202,bad,Bin,,,
1437074439.768863,,good,Pot,18.564650000000004,,
1437074440.513549,1437074440.912019,bad,Bin,,,
1437074441.309775,1437074441.760545,bad,Bin,,,
1437074442.15761,1437074442.654837,bad,Bin,,,
1437074443.025097,1437074443.55746,bad,Bin,,,
1437074443.954921,1437074444.486755,bad,Bin,,,
1437074444.850151,,good,Pot,18.564650000000004,,
1437074445.732434,,good,Pot,18.564650000000004,,
1437074446.993124,1437074447.492629,bad,Bin,,,
1437074447.890338,1437074448.455903,bad,Bin,,,
1437074448.853747,1437074449.365078,bad,Bin,,,
1437074449.738933,,good,Pot,18.564650000000004,,
1437074450.50958,1437074450.885035,bad,Bin,,,
